CustomerID,Probability of Churning
7590-VHVEG,0.9138431238831498
5575-GNVDE,0.11062895634998161
7795-CFOCW,0.08443004931076492
1452-KIOVK,0.43095726001295204
6713-OKOMC,0.5997394661861126
6388-TABGU,0.04094617693083638
9763-GRSKD,0.25839311790659547
7469-LKBCI,0.08144794934827967
8091-TTVAX,0.3520830731767999
5129-JLPIS,0.6924237546592467
3655-SNQYZ,0.1511425046453238
8191-XWSZG,0.018596970790921256
9959-WOFKT,0.1318577714665731
4183-MYFRB,0.7534953821534414
1680-VDCWW,0.2612693607818163
3638-WEABW,0.06131406058172189
6322-HRPFA,0.03080391248223495
6865-JZNKO,0.34290851347017653
5248-YGIJN,0.07051683484172692
3841-NFECX,0.10115855886044305
4929-XIHVW,0.8787698754827984
6827-IEAUQ,0.16715838171946498
7310-EGVHZ,0.4794270087991319
3413-BMNZE,0.6574650237723088
6234-RAAPL,0.11997896058408652
6572-ADKRS,0.3635235271408898
8865-TNMNX,0.437240831794376
9489-DEDVP,0.066121248019835
9867-JCZSP,0.190663024403151
4671-VJLCL,0.047462428075620816
4080-IIARD,0.7596451921273282
3714-NTNFO,0.5885652522509038
5948-UJZLF,0.6063221800029004
7639-LIAYI,0.0921984181134245
2954-PIBKO,0.02819801505638033
8012-SOUDQ,0.7246268879932499
6575-SUVOI,0.5486644277827835
4667-QONEA,0.08566831955107132
8769-KKTPH,0.39138556845886874
5067-XJQFU,0.4982759075516897
3957-SQXML,0.057560942184060035
5954-BDFSG,0.15494448707720734
0434-CSFON,0.7869327609285791
1215-FIGMP,0.5165716012155381
0526-SXDJP,0.024583632299168354
0557-ASKVU,0.32124713310576
5122-CYFXA,0.775662429872127
8627-ZYGSZ,0.5114725603084306
3410-YOQBQ,0.11834295844495508
3170-NMYVV,0.01832367964793713
7410-OIEDU,0.6783634213875178
2273-QCKXA,0.5275662532851244
0731-EBJQB,0.0606500726498992
1891-QRQSA,0.26272001988272353
8028-PNXHQ,0.02022063269719672
5630-AHZIL,0.26433856381494397
2673-CXQEU,0.41336145045333017
6416-JNVRK,0.09652994105115233
5590-ZSKRV,0.23744394593851054
0191-ZHSKZ,0.5741602710408241
3887-PBQAO,0.08279557287385728
8108-UXRQN,0.5318780555674213
9919-YLNNG,0.5537875354772167
0318-ZOPWS,0.02988659909522508
4445-ZJNMU,0.854873319968192
4808-YNLEU,0.3142481229156418
1862-QRWPE,0.02185391294296752
2796-NNUFI,0.031690796655611225
3016-KSVCP,0.5608626762990819
4767-HZZHQ,0.24351243858463753
2424-WVHPL,0.7496867038136948
7233-PAHHL,0.08677980345873235
6067-NGCEU,0.47517512992732786
9848-JQJTX,0.22751763660261026
9803-FTJCG,0.058534031674330904
3212-KXOCR,0.012046575172403897
6380-ARCEH,0.4475959581038886
3679-XASPY,0.2929030753594082
7123-WQUHX,0.3433508329562748
5386-THSLQ,0.11064122559577952
6180-YBIQI,0.7147107389627525
6728-DKUCO,0.45387644276019934
9750-BOOHV,0.18189367567153458
8597-CWYHH,0.39341378872818944
2848-YXSMW,0.0040898911979118
4549-ZDQYY,0.035830942803781574
5712-AHQNN,0.6318198177387798
5256-SKJGO,0.1284653795940829
3071-VBYPO,0.5683945763197626
9560-BBZXK,0.10068264156125188
8402-OOOHJ,0.019922264881821874
9445-ZUEQE,0.3080356131596963
1091-SOZGA,0.46855679113004106
2928-HLDBA,0.37015736121738185
6497-TILVL,0.23734236794272542
7219-TLZHO,0.18245995935872167
4622-YNKIJ,0.29944635058615227
6734-PSBAW,0.011587855131216974
3930-ZGWVE,0.4482873227004031
2639-UGMAZ,0.1485830543540797
2876-GZYZC,0.8583750195910731
8587-XYZSF,0.013074731110781695
7799-LGRDP,0.03738447917531022
7850-VWJUU,0.6000211159120804
3774-VBNXY,0.00714303079361048
6217-KDYWC,0.011825137571226774
3146-MSEGF,0.07638915303098774
1095-WGNGG,0.3517497040471281
2636-SJDOU,0.1698977730714116
1131-QQZEB,0.008807658797476704
5716-EZXZN,0.16863524875112343
6837-BJYDQ,0.2756257300143348
6440-DKQGE,0.20763806329586407
3466-BYAVD,0.246628670659775
3780-YVMFA,0.4831509761737252
1679-JRFBR,0.4029977061231302
9073-ZZIAY,0.07151921760966848
3077-RSNTJ,0.16663513197084784
6551-GNYDG,0.5082082935981738
9167-APMXZ,0.7838592206864822
2749-CTKAJ,0.1455173910673198
6371-NZYEG,0.2403215772129277
7554-NEWDD,0.1734715661693427
8992-VONJD,0.28205597017109435
4482-EWFMI,0.8525385116659053
4648-YPBTM,0.0858834369277507
2907-ILJBN,0.24891564328058646
6345-FZOQH,0.005326565988143197
5997-OPVFA,0.08156549532675524
1159-WFSGR,0.14216979617439152
7654-YWJUF,0.26435257871680307
6727-IOTLZ,0.272092994031953
5918-VUKWP,0.06840160047698332
1744-JHKYS,0.24922026407723286
5947-SGKCL,0.6439754891273684
3712-PKXZA,0.02257785150975833
6582-OIVSP,0.6105232502689317
5524-KHNJP,0.24365230024591103
4827-USJHP,0.4875312931397094
8167-GJLRN,0.7505067938318674
0956-SYCWG,0.23678845765548892
8017-UVSZU,0.3230127150971724
7100-FQPRV,0.20348499593600466
2984-RGEYA,0.006012894794976927
9680-NIAUV,0.18357507435555317
2146-EGVDT,0.009265564683299634
2604-IJPDU,0.7704821785417721
9178-JHUVJ,0.04532104147119619
6168-YBYNP,0.6129038041522248
7255-SSFBC,0.07633719290335006
3645-DEYGF,0.1597920551948036
9323-HGFWY,0.4970175922471153
8544-GOQSH,0.6141627695243571
3363-DTIVD,0.06534550142913013
7018-WBJNK,0.4225712539941404
9142-KZXOP,0.2802056143138772
7674-YTAFD,0.3336894623579631
6348-SNFUS,0.03733578987352503
1347-KTTTA,0.2955414990062957
4195-NZGTA,0.827239899334998
7157-SMCFK,0.0013866350892568194
4709-LKHYG,0.14281454332560323
2504-DSHIH,0.8045871250118308
0699-NDKJM,0.3909202824767703
9286-BHDQG,0.015439910839081358
0230-WEQUW,0.0662655771821076
2040-LDIWQ,0.11335045425861139
6496-JDSSB,0.8163661452533157
4443-EMBNA,0.00838630951648626
6469-MRVET,0.5865919825083153
5961-VUSRV,0.27180871566550946
6778-JFCMK,0.4910572132612985
6341-JVQGF,0.2969461511052434
4811-JBUVU,0.5929960753958693
0945-TSONX,0.16397903548279583
2651-ZCBXV,0.20943483313701527
3316-UWXUY,0.3216559340285127
7083-MIOPC,0.0030253907485880654
1984-GPTEH,0.23955539489877065
0621-JFHOL,0.365053847157271
9903-LYSAB,0.8559531152689637
9227-UAQFT,0.08474154153498534
7301-ABVAD,0.0493395464317018
6614-FHDBO,0.13401118074389987
7576-ASEJU,0.22081003904580734
9058-HRZSV,0.3727800646290929
4522-AKYLR,0.6692778722652171
0221-WMXNQ,0.7481372427208031
0303-UNCIP,0.15808612825825807
0959-WHOKV,0.5092363175780726
4075-JFPGR,0.43813785145698314
3282-ZISZV,0.23762730148988148
3675-YDUPJ,0.41583815007440156
4111-BNXIF,0.12297213311471986
7017-VFHAY,0.048885353327002
6655-LHBYW,0.276944375463102
5046-NUHWD,0.6724331650530814
7529-ZDFXI,0.6540484839959885
7605-BDWDC,0.17922508450174235
